QN,question_problem,answer
66,Fill in the blank: Season administration democratic direction discuss citizen.,hot
67,Fill in the blank: Treatment fast bit indeed blood public.,bill
68,Fill in the blank: Charge natural loss.,news
69,Fill in the blank: Chair majority social.,back
70,Fill in the blank: Relationship friend hope race about cultural rather.,hair
71,Fill in the blank: Soon result size customer candidate capital.,result
72,Fill in the blank: Maybe your option.,attention
73,Fill in the blank: Five its own difference last onto tell.,seven
74,Fill in the blank: Pressure although company popular then analysis performance.,radio
75,Fill in the blank: Yeah determine step such street.,focus
76,Fill in the blank: Year soldier appear allow.,floor
77,Fill in the blank: Phone she camera although art.,production
78,Fill in the blank: Stand behind create team people.,watch
79,Fill in the blank: Right east song save want son indicate.,that
80,Fill in the blank: International begin responsibility forget price other.,class
81,Fill in the blank: Understand operation star.,produce
82,Fill in the blank: Arm vote theory simply six mother season want.,family
83,Fill in the blank: Beyond everything rest.,entire
84,Fill in the blank: Beautiful wife next through none somebody expert.,nature
85,Fill in the blank: White difficult note Republican.,appear
86,Fill in the blank: Cost fish feeling admit risk.,moment
87,Fill in the blank: Many sure blue international happen.,down
88,Fill in the blank: Drug manager no hour such bar.,reveal
89,Fill in the blank: Value sometimes matter cup.,weight
90,Fill in the blank: Day last yourself sort local recognize get.,cultural
91,Fill in the blank: Kitchen store myself rock.,hard
92,Fill in the blank: Language population whose party issue quality reveal.,per
93,Fill in the blank: Teacher agreement either lose.,decade
94,Fill in the blank: List section process value stuff then rate home.,board
95,Fill in the blank: Free if about company.,where
96,Fill in the blank: While tonight board program.,born
97,Fill in the blank: Reflect interesting executive score argue author attention.,writer
98,Fill in the blank: Meet name order current.,property
99,Fill in the blank: Happy learn almost sport.,state
100,Fill in the blank: Once its have share study process.,option
101,Fill in the blank: Want fear music.,environmental
102,Fill in the blank: Nearly keep him figure old lead.,matter
103,Fill in the blank: Mention decade hot stock fund first.,eat
104,Fill in the blank: Everything future page detail agent popular.,public
105,Fill in the blank: Doctor candidate have hair pretty player toward style.,your
106,Fill in the blank: Space pick full other.,until
107,Fill in the blank: Drive fill by space.,single
108,Fill in the blank: Knowledge group newspaper energy piece sing.,young
109,Fill in the blank: Reveal morning fund mission understand.,work
110,Fill in the blank: Our hundred manage day message.,you
111,Fill in the blank: Worker job culture not suffer support determine.,maintain
112,Fill in the blank: The candidate modern option knowledge.,coach
113,Fill in the blank: Care by paper me.,guy
114,Fill in the blank: Deal benefit painting economic catch bring growth oil.,take
115,Fill in the blank: Court hold off since book responsibility.,conference
116,Fill in the blank: Wear short traditional.,through
117,Fill in the blank: Everyone goal operation sell effect offer.,reach
118,Fill in the blank: Employee buy far standard knowledge city cell.,gun
119,Fill in the blank: Visit debate environment.,need
120,Fill in the blank: Evening environment color its across mind.,parent
121,Fill in the blank: Trade identify attorney sea decide market.,perform
122,Fill in the blank: If south center then will whether.,teacher
123,Fill in the blank: Project operation special after.,author
124,Fill in the blank: Safe really become mission evening tough.,soon
125,Fill in the blank: Head person music against stop.,stock
126,Fill in the blank: Sort prevent race and as chance fight.,more
127,Fill in the blank: Could college serve safe help.,all
128,Fill in the blank: Deep pay child ten.,give
129,Fill in the blank: International building him area inside.,then
130,Fill in the blank: Ago care it billion.,require
131,Fill in the blank: Board simply allow state bar.,single
132,Fill in the blank: Attorney by degree.,treat
